Wavenumbers	y	baseline_poly	y_poly	baseline_exp	y_exp	baseline_gaussian	y_gaussian	baseline_sigmoidal	y_sigmoidal
400.0	9.568300845315596e-33	5.001787434307275	5.001787434307275	7.0	7.0	0.8650606673195492	0.8650606673195492	0.020263319446897923	0.020263319446897923
401.0	1.0760372902032668e-31	4.990937191706699	4.990937191706699	6.99994980025	6.99994980025	0.8688508835633503	0.8688508835633503	0.020425471728083358	0.020425471728083358
402.0	1.1626477860396528e-30	4.98017639809683	4.98017639809683	6.999799085041262	6.999799085041262	0.8726522523397677	0.8726522523397677	0.020588916718036577	0.020588916718036577
403.0	1.2069721626035716e-29	4.96950459048653	4.96950459048653	6.999547777933701	6.999547777933701	0.876464774822099	0.876464774822099	0.020753664644142692	0.020753664644142692
404.0	1.2038560555822526e-28	4.958921307509527	4.958921307509527	6.9991958415712725	6.9991958415712725	0.8802884519791834	0.8802884519791834	0.020919725813443174	0.020919725813443174
405.0	1.1536659922835555e-27	4.948426089417559	4.948426089417559	6.998743257588672	6.998743257588672	0.8841232845744846	0.8841232845744846	0.02108711061323594	0.02108711061323594
406.0	1.0622184499410861e-26	4.938018478073445	4.938018478073445	6.998190020983739	6.998190020983739	0.8879692731651752	0.8879692731651752	0.02125582951167976	0.02125582951167976
407.0	9.396709721804182e-26	4.927698016944284	4.927698016944284	6.997536137574987	6.997536137574987	0.8918264181012238	0.8918264181012238	0.02142589305840277	0.02142589305840277
408.0	7.986674819716588e-25	4.917464251094721	4.917464251094721	6.9967816226095305	6.9967816226095305	0.8956947195244856	0.8956947195244856	0.02159731188511528	0.02159731188511528
409.0	6.5220543614223e-24	4.907316727180245	4.907316727180245	6.995926499908925	6.995926499908925	0.8995741773677944	0.8995741773677944	0.02177009670622683	0.02177009670622683
410.0	5.1171841620973656e-23	4.8972549934405265	4.8972549934405265	6.994970801303026	6.994970801303026	0.9034647913540579	0.9034647913540579	0.02194425831946755	0.02194425831946755
411.0	3.8574996959278403e-22	4.88727859969277	4.88727859969277	6.993914566232903	6.993914566232903	0.9073665609953548	0.9073665609953548	0.022119807606513837	0.022119807606513837
412.0	2.793887886294199e-21	4.877387097325247	4.877387097325247	6.992757841459885	6.992757841459885	0.9112794855920361	0.9112794855920361	0.022296755533618328	0.022296755533618328
413.0	1.944197004060156e-20	4.8675800392907576	4.8675800392907576	6.991500680844709	6.991500680844709	0.9152035642318279	0.9152035642318279	0.022475113152244274	0.022475113152244274
414.0	1.2998695944141786e-19	4.857856980100188	4.857856980100188	6.990143145174899	6.990143145174899	0.9191387957889368	0.9191387957889368	0.0226548915997043	0.0226548915997043
415.0	8.350020111701028e-19	4.8482174758161065	4.8482174758161065	6.988685302026408	6.988685302026408	0.9230851789231596	0.9230851789231596	0.022836102099803534	0.022836102099803534
416.0	5.153514218309962e-18	4.838661084046379	4.838661084046379	6.987127225650249	6.987127225650249	0.9270427120789939	0.9270427120789939	0.023018755963487226	0.02301875596348723
417.0	3.0559599365746097e-17	4.829187363937933	4.829187363937933	6.9854689968777794	6.9854689968777794	0.931011393484754	0.931011393484754	0.023202864589492774	0.023202864589492805
418.0	1.7410853244592502e-16	4.819795876170481	4.819795876170481	6.983710703040147	6.983710703040147	0.9349912211516868	0.934991221151687	0.02338843946500626	0.023388439465006433
419.0	9.530609470598176e-16	4.810486182950278	4.810486182950279	6.981852437898663	6.981852437898664	0.9389821928730937	0.9389821928730947	0.023575492166323486	0.02357549216632444
420.0	5.012443774290549e-15	4.801257848004042	4.801257848004047	6.979894301583715	6.9798943015837205	0.9429843062234541	0.9429843062234591	0.02376403435951554	0.023764034359520552
421.0	2.532833109818835e-14	4.792110436572699	4.792110436572725	6.977836400540425	6.9778364005404505	0.9469975585575512	0.9469975585575765	0.023954077801098907	0.023954077801124234
422.0	1.2296792825409513e-13	4.783043515405488	4.783043515405611	6.975678847479691	6.975678847479814	0.9510219470096027	0.9510219470097258	0.024145634338710177	0.024145634338833145
423.0	5.735950017776196e-13	4.774056652753842	4.774056652754416	6.973421761333542	6.973421761334116	0.955057468492394	0.9550574684929676	0.02433871591178533	0.02433871591235893
