Wavenumbers	y	baseline_poly	y_poly	baseline_exp	y_exp	baseline_gaussian	y_gaussian	baseline_sigmoidal	y_sigmoidal
400.0	9.568300845315596e-33	5.001787434307275	5.001787434307275	10.44937130128076	10.44937130128076	0.8650606673195492	0.8650606673195492	0.020263319446897923	0.020263319446897923
401.0	1.0760372902032668e-31	4.990937191706699	4.990937191706699	10.424949199543939	10.424949199543939	0.8688508835633503	0.8688508835633503	0.020425471728083358	0.020425471728083358
402.0	1.1626477860396528e-30	4.98017639809683	4.98017639809683	10.400534710632408	10.400534710632408	0.8726522523397677	0.8726522523397677	0.020588916718036577	0.020588916718036577
403.0	1.2069721626035716e-29	4.96950459048653	4.96950459048653	10.376128151817085	10.376128151817085	0.876464774822099	0.876464774822099	0.020753664644142692	0.020753664644142692
404.0	1.2038560555822526e-28	4.958921307509527	4.958921307509527	10.351729839277525	10.351729839277525	0.8802884519791834	0.8802884519791834	0.020919725813443174	0.020919725813443174
405.0	1.1536659922835555e-27	4.948426089417559	4.948426089417559	10.327340088096047	10.327340088096047	0.8841232845744846	0.8841232845744846	0.02108711061323594	0.02108711061323594
406.0	1.0622184499410861e-26	4.938018478073445	4.938018478073445	10.302959212251949	10.302959212251949	0.8879692731651752	0.8879692731651752	0.02125582951167976	0.02125582951167976
407.0	9.396709721804182e-26	4.927698016944284	4.927698016944284	10.278587524615734	10.278587524615734	0.8918264181012238	0.8918264181012238	0.02142589305840277	0.02142589305840277
408.0	7.986674819716588e-25	4.917464251094721	4.917464251094721	10.254225336943428	10.254225336943428	0.8956947195244856	0.8956947195244856	0.02159731188511528	0.02159731188511528
409.0	6.5220543614223e-24	4.907316727180245	4.907316727180245	10.229872959870937	10.229872959870937	0.8995741773677944	0.8995741773677944	0.02177009670622683	0.02177009670622683
410.0	5.1171841620973656e-23	4.8972549934405265	4.8972549934405265	10.205530702908458	10.205530702908458	0.9034647913540579	0.9034647913540579	0.02194425831946755	0.02194425831946755
411.0	3.8574996959278403e-22	4.88727859969277	4.88727859969277	10.181198874434962	10.181198874434962	0.9073665609953548	0.9073665609953548	0.022119807606513837	0.022119807606513837
412.0	2.793887886294199e-21	4.877387097325247	4.877387097325247	10.156877781692714	10.156877781692714	0.9112794855920361	0.9112794855920361	0.022296755533618328	0.022296755533618328
413.0	1.944197004060156e-20	4.8675800392907576	4.8675800392907576	10.132567730781858	10.132567730781858	0.9152035642318279	0.9152035642318279	0.022475113152244274	0.022475113152244274
414.0	1.2998695944141786e-19	4.857856980100188	4.857856980100188	10.108269026655064	10.108269026655064	0.9191387957889368	0.9191387957889368	0.0226548915997043	0.0226548915997043
415.0	8.350020111701028e-19	4.8482174758161065	4.8482174758161065	10.083981973112214	10.083981973112214	0.9230851789231596	0.9230851789231596	0.022836102099803534	0.022836102099803534
416.0	5.153514218309962e-18	4.838661084046379	4.838661084046379	10.05970687279517	10.05970687279517	0.9270427120789939	0.9270427120789939	0.023018755963487226	0.02301875596348723
417.0	3.0559599365746097e-17	4.829187363937933	4.829187363937933	10.035444027182578	10.035444027182578	0.931011393484754	0.931011393484754	0.023202864589492774	0.023202864589492805
418.0	1.7410853244592502e-16	4.819795876170481	4.819795876170481	10.011193736584728	10.011193736584728	0.9349912211516868	0.934991221151687	0.02338843946500626	0.023388439465006433
419.0	9.530609470598176e-16	4.810486182950278	4.810486182950279	9.986956300138484	9.986956300138486	0.9389821928730937	0.9389821928730947	0.023575492166323486	0.02357549216632444
420.0	5.012443774290549e-15	4.801257848004042	4.801257848004047	9.96273201580227	9.962732015802276	0.9429843062234541	0.9429843062234591	0.02376403435951554	0.023764034359520552
421.0	2.532833109818835e-14	4.792110436572699	4.792110436572725	9.93852118035109	9.938521180351115	0.9469975585575512	0.9469975585575765	0.023954077801098907	0.023954077801124234
422.0	1.2296792825409513e-13	4.783043515405488	4.783043515405611	9.91432408937164	9.914324089371762	0.9510219470096027	0.9510219470097258	0.024145634338710177	0.024145634338833145
423.0	5.735950017776196e-13	4.774056652753842	4.774056652754416	9.890141037257436	9.89014103725801	0.955057468492394	0.9550574684929676	0.02433871591178533	0.02433871591235893
424.0	2.5706744502673006e-12	4.765149418365382	4.765149418367953	9.865972317204049	9.86597231720662	0.9591041196964137	0.9591041196989845	0.024533334552243696	0.02453333455481437
425.0	1.1069220143402027e-11	4.756321383478095	4.756321383489165	9.841818221204342	9.84181822121541	0.9631618970889942	0.9631618971000635	0.02472950238517648	0.0247295023962457
426.0	4.579469691291106e-11	4.747572120814326	4.74757212086012	9.817679040043807	9.817679040089601	0.967230796913454	0.9672307969592487	0.024927231629540084	0.024927231675334782
427.0	1.820294152897587e-10	4.738901204574979	4.738901204757009	9.793555063295926	9.793555063477955	0.971310815188244	0.9713108153702734	0.025126534598854	0.025126534780883416
428.0	6.951782562479844e-10	4.730308210433769	4.730308211128947	9.769446579317638	9.769446580012817	0.9754019477060986	0.9754019484012768	0.02532742370190352	0.025327424397081775
429.0	2.5508152590520883e-09	4.7217927155314	4.721792718082216	9.745353875244781	9.745353877795596	0.9795041900331869	0.9795041925840021	0.02552991144344716	0.02552991399426242
430.0	8.99269892456174e-09	4.713354298469838	4.713354307462537	9.721277236987692	9.72127724598039	0.9836175375082706	0.9836175465009696	0.025734010424928858	0.025734019417627783
